split,target,mae,rmse,bias,mape_safe,cov_10_90,cov_2_97
2016->2020,total,1.7474823059384446,3.716923222051794,-0.4003162726248195,0.33287323817618036,0.8829268292682927,0.9512195121951219
2016->2020,gold,0.6874077323070323,1.6918269162053408,-0.2003755833263928,0.2645131118037898,0.9365853658536586,0.9609756097560975
2020->2024,total,1.653889590397663,3.661700487589523,-0.19998594308057052,0.3438060370842595,0.8932038834951457,0.941747572815534
2020->2024,gold,0.7209494832454428,1.7933380136692563,-0.1152963170141481,0.2611745492094479,0.9223300970873787,0.9805825242718447
