split,NOC,Year,total_actual,gold_actual,total_pred,gold_pred,total_pred_10_90_lo,total_pred_10_90_hi,gold_pred_10_90_lo,gold_pred_10_90_hi,total_pred_2_97_lo,total_pred_2_97_hi,gold_pred_2_97_lo,gold_pred_2_97_hi
2016->2020,AFG,2020,0.0,0.0,0.1297841841274663,0.03552331054203114,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2016->2020,ALB,2020,0.0,0.0,0.17450426878218694,0.05929721072141812,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2016->2020,ALG,2020,0.0,0.0,1.1428737869398473,0.28819329874021665,0.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0
2016->2020,AND,2020,0.0,0.0,0.05201013063161063,0.016466585348203895,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016->2020,ANG,2020,0.0,0.0,0.3361827145646208,0.11987938610754574,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
2016->2020,ANT,2020,0.0,0.0,0.11857255146227048,0.03951499834920181,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2016->2020,ARG,2020,3.0,0.0,7.224304409713523,2.448423406115553,2.0,15.0,0.0,5.0,0.0,21.0,0.0,8.0
2016->2020,ARM,2020,4.0,0.0,0.6538719367147999,0.13420804903943234,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0
2016->2020,ARU,2020,0.0,0.0,0.06770727989923864,0.021730565805952007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016->2020,ASA,2020,0.0,0.0,0.12421249004688222,0.041294921868172685,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2016->2020,AUS,2020,46.0,17.0,54.93728225236111,14.998106800500606,16.900000000000034,106.0,4.0,29.0,8.0,151.0,1.0,42.0
2016->2020,AUT,2020,7.0,1.0,2.0041490303771208,0.5153613889309896,0.0,5.0,0.0,2.0,0.0,7.0,0.0,3.0
